DiseaseID,Name,Category,CreatedAt
1,Type 1 Diabetes,Metabolic,2026-04-11T00:00:00Z
2,Type 2 Diabetes,Metabolic,2026-04-11T00:00:00Z
3,Prediabetes,Metabolic,2026-04-11T00:00:00Z
4,Gestational Diabetes,Pregnancy,2026-04-11T00:00:00Z
5,Reactive Hypoglycemia,Metabolic,2026-04-11T00:00:00Z
6,Obesity,Chronic,2026-04-11T00:00:00Z
7,Overweight,Chronic,2026-04-11T00:00:00Z
8,Metabolic Syndrome,Metabolic,2026-04-11T00:00:00Z
9,Hypercholesterolemia,Cardiovascular,2026-04-11T00:00:00Z
10,Hypertriglyceridemia,Cardiovascular,2026-04-11T00:00:00Z
11,Hypertension,Cardiovascular,2026-04-11T00:00:00Z
12,Hypotension,Cardiovascular,2026-04-11T00:00:00Z
13,Coronary Artery Disease,Cardiovascular,2026-04-11T00:00:00Z
14,Heart Failure,Cardiovascular,2026-04-11T00:00:00Z
15,Peripheral Artery Disease,Cardiovascular,2026-04-11T00:00:00Z
16,Atherosclerosis,Cardiovascular,2026-04-11T00:00:00Z
17,Cardiac Arrhythmia,Cardiovascular,2026-04-11T00:00:00Z
18,Atrial Fibrillation,Cardiovascular,2026-04-11T00:00:00Z
19,Stroke,Neurological,2026-04-11T00:00:00Z
20,Transient Ischemic Attack,Neurological,2026-04-11T00:00:00Z
21,Chronic Kidney Disease,Renal,2026-04-11T00:00:00Z
22,End-Stage Renal Disease,Renal,2026-04-11T00:00:00Z
23,Acute Kidney Injury,Renal,2026-04-11T00:00:00Z
24,Nephrotic Syndrome,Renal,2026-04-11T00:00:00Z
25,Nephrolithiasis,Renal,2026-04-11T00:00:00Z
26,Chronic Liver Disease,Hepatic,2026-04-11T00:00:00Z
27,Cirrhosis,Hepatic,2026-04-11T00:00:00Z
28,Nonalcoholic Fatty Liver Disease,Hepatic,2026-04-11T00:00:00Z
29,Metabolic Dysfunction-Associated Steatotic Liver Disease,Hepatic,2026-04-11T00:00:00Z
30,Alcohol-Related Liver Disease,Hepatic,2026-04-11T00:00:00Z
31,Hepatitis B,Hepatic,2026-04-11T00:00:00Z
32,Hepatitis C,Hepatic,2026-04-11T00:00:00Z
33,Hepatic Encephalopathy,Hepatic,2026-04-11T00:00:00Z
34,Pancreatitis,Digestive,2026-04-11T00:00:00Z
35,Chronic Pancreatitis,Digestive,2026-04-11T00:00:00Z
36,Exocrine Pancreatic Insufficiency,Digestive,2026-04-11T00:00:00Z
37,Celiac Disease,Autoimmune,2026-04-11T00:00:00Z
38,Non-Celiac Gluten Sensitivity,Digestive,2026-04-11T00:00:00Z
39,Irritable Bowel Syndrome,Digestive,2026-04-11T00:00:00Z
40,Crohn's Disease,Digestive,2026-04-11T00:00:00Z
41,Ulcerative Colitis,Digestive,2026-04-11T00:00:00Z
42,Gastroesophageal Reflux Disease,Digestive,2026-04-11T00:00:00Z
43,Peptic Ulcer Disease,Digestive,2026-04-11T00:00:00Z
44,Chronic Gastritis,Digestive,2026-04-11T00:00:00Z
45,Dyspepsia,Digestive,2026-04-11T00:00:00Z
46,Lactose Intolerance,Digestive,2026-04-11T00:00:00Z
47,Fructose Malabsorption,Digestive,2026-04-11T00:00:00Z
48,Sucrase-Isomaltase Deficiency,Digestive,2026-04-11T00:00:00Z
49,Histamine Intolerance,Digestive,2026-04-11T00:00:00Z
50,Small Intestinal Bacterial Overgrowth,Digestive,2026-04-11T00:00:00Z
51,Diverticular Disease,Digestive,2026-04-11T00:00:00Z
52,Chronic Constipation,Digestive,2026-04-11T00:00:00Z
53,Chronic Diarrhea,Digestive,2026-04-11T00:00:00Z
54,Dumping Syndrome,Digestive,2026-04-11T00:00:00Z
55,Short Bowel Syndrome,Digestive,2026-04-11T00:00:00Z
56,Dysphagia,Digestive,2026-04-11T00:00:00Z
57,Gastroparesis,Digestive,2026-04-11T00:00:00Z
58,Cholelithiasis,Digestive,2026-04-11T00:00:00Z
59,Chronic Cholecystitis,Digestive,2026-04-11T00:00:00Z
